                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.56568,                0.43335,                0.87993,                0.65094,                0.78988,                0.78085,                0.49421,                   1.18,                0.85753,                 1.3334,             0.00064355,             0.00064355,             0.00064355
                     88,                0.56599,                0.45911,                0.87514,                  0.794,                0.83794,                0.84014,                0.59084,                 1.1382,                0.75821,                 1.2616,             0.00063805,             0.00063805,             0.00063805
                     89,                 0.5401,                 0.4251,                0.86738,                0.68179,                0.81248,                0.86983,                0.60051,                 1.1239,                 1.0586,                 1.2487,             0.00063255,             0.00063255,             0.00063255
                     90,                0.55358,                0.42838,                0.87065,                0.64147,                0.92286,                0.84158,                0.59564,                 1.0063,                  1.133,                  1.161,             0.00062705,             0.00062705,             0.00062705
                     91,                0.54819,                0.40728,                0.87684,                0.72415,                0.93196,                0.89624,                0.62102,                 1.1077,                0.87622,                 1.2366,             0.00062155,             0.00062155,             0.00062155
                     92,                0.53444,                0.40969,                 0.8702,                0.76134,                0.80627,                0.81597,                0.57585,                 1.1292,                0.87392,                 1.2421,             0.00061605,             0.00061605,             0.00061605
                     93,                0.55098,                 0.4445,                0.87815,                0.75087,                0.77034,                0.87609,                0.62293,                 1.0605,                 1.1891,                 1.2225,             0.00061055,             0.00061055,             0.00061055
                     94,                0.54908,                0.41214,                0.88038,                0.72404,                0.68949,                0.71094,                0.52389,                 1.0685,                 1.0143,                 1.2289,             0.00060505,             0.00060505,             0.00060505
                     95,                0.53809,                0.40821,                0.87192,                 0.7204,                0.78434,                0.78561,                 0.5313,                  1.149,                0.85632,                 1.2818,             0.00059955,             0.00059955,             0.00059955
                     96,                 0.5491,                0.41064,                0.87059,                0.92771,                0.68317,                0.84495,                0.59736,                  1.107,                0.65259,                 1.2401,             0.00059405,             0.00059405,             0.00059405
                     97,                0.54449,                0.41735,                0.87632,                0.68109,                0.78722,                0.79592,                0.53947,                 1.1203,                  1.292,                 1.2272,             0.00058855,             0.00058855,             0.00058855
                     98,                0.52587,                0.38021,                0.85862,                0.65229,                0.76221,                 0.7549,                 0.5208,                 1.0949,                0.92891,                 1.2246,             0.00058305,             0.00058305,             0.00058305
                     99,                0.53413,                0.40119,                0.87781,                0.82328,                 0.7491,                 0.8824,                0.59011,                 1.1224,                 1.0612,                 1.2462,             0.00057755,             0.00057755,             0.00057755
                    100,                0.52657,                0.38542,                0.86713,                 0.7572,                0.73213,                0.78719,                0.54441,                  1.008,                0.83389,                 1.1275,             0.00057205,             0.00057205,             0.00057205
                    101,                0.52789,                0.38484,                0.87316,                0.88784,                0.66589,                0.88501,                0.61961,                 1.0284,                0.85087,                 1.1725,             0.00056655,             0.00056655,             0.00056655
                    102,                0.52489,                0.38598,                0.86828,                0.74064,                0.71403,                0.83491,                0.59431,                 1.1229,                 1.0734,                 1.2134,             0.00056105,             0.00056105,             0.00056105
                    103,                0.53184,                0.40721,                0.87123,                0.67296,                0.75108,                0.80282,                0.56777,                 1.0924,                 1.0607,                 1.1682,             0.00055556,             0.00055556,             0.00055556
                    104,                0.51905,                0.40398,                0.86713,                0.61524,                0.69859,                0.73323,                0.51377,                 1.1156,                 1.0323,                 1.2019,             0.00055006,             0.00055006,             0.00055006
                    105,                0.51576,                0.39801,                0.85956,                0.84101,                0.87883,                0.85484,                 0.5878,                 1.1124,                0.87557,                 1.2426,             0.00054456,             0.00054456,             0.00054456
                    106,                0.52571,                0.39026,                0.86641,                0.76634,                0.68095,                0.75825,                0.53917,                 1.0671,                 1.1559,                 1.1924,             0.00053906,             0.00053906,             0.00053906
                    107,                0.52037,                0.37832,                0.86768,                0.67743,                0.63846,                0.73106,                0.52211,                 1.0946,                 1.2187,                 1.2036,             0.00053356,             0.00053356,             0.00053356
                    108,                0.50844,                 0.3646,                0.86134,                0.77123,                0.59044,                0.82805,                0.59401,                 1.0661,                 1.4416,                 1.1954,             0.00052806,             0.00052806,             0.00052806
                    109,                0.52085,                 0.3738,                0.86076,                0.75299,                0.75695,                0.84683,                0.61775,                 1.0226,                0.91201,                 1.1473,             0.00052256,             0.00052256,             0.00052256
                    110,                0.51049,                0.37037,                 0.8593,                 0.6965,                0.79551,                0.80807,                0.57377,                 1.0802,                 1.1416,                 1.2211,             0.00051706,             0.00051706,             0.00051706
                    111,                0.50336,                0.37343,                0.86647,                0.68803,                0.72874,                0.78071,                0.56973,                 1.0641,                  1.153,                 1.2045,             0.00051156,             0.00051156,             0.00051156
                    112,                0.49944,                0.36666,                0.86422,                0.76119,                0.73589,                0.78937,                0.55972,                 1.0538,                 1.2202,                 1.2257,             0.00050606,             0.00050606,             0.00050606
                    113,                0.49532,                0.36644,                0.86541,                0.81661,                0.80438,                 0.8563,                0.62338,                 1.0095,                0.86993,                 1.1547,             0.00050056,             0.00050056,             0.00050056
                    114,                0.50533,                0.36909,                 0.8691,                0.66259,                0.80044,                0.87877,                0.59158,                  1.101,                 1.1287,                 1.2065,             0.00049506,             0.00049506,             0.00049506
                    115,                0.50831,                0.37747,                0.86417,                0.82905,                0.88741,                0.89994,                0.63296,                 1.0647,                  1.051,                 1.1736,             0.00048956,             0.00048956,             0.00048956
